ipca;cdi;cambio;impacto_cdi_ativos;impacto_cdi_passivos;impacto_cdi_total;impacto_ipca_ativos;impacto_ipca_passivos;impacto_ipca_total;impacto_cambio_ativos;impacto_cambio_passivos;impacto_cambio_total;impacto_total
0,16196239376783678;0,5580482326069853;0,19406664093876302;1143998,87684432;4213264,156182739;-3069265,279338419;194354,87252140412;275336,06940532255;-80981,19688391843;291099,96140814456;2910999,614081445;-2619899,6526733004;-5770146,128895638
0,11271268950261265;0,46054444980172093;0,06671213532934467;944116,1220935279;3477110,596002993;-2532994,473909465;135255,22740313518;191611,5721544415;-56356,344751306315;100068,202994017;1000682,02994017;-900613,826946153;-3489964,6456069243
0,10572352098835319;0,4001169724509716;0,13214782393007152;820239,7935244918;3020883,1420048354;-2200643,348480344;126868,22518602383;179729,98568020042;-52861,76049417659;198221,73589510727;1982217,3589510727;-1783995,6230559654;-4037500,7320304858
0,13530637807680929;0,4682943786552446;0,1373367037364089;960003,4762432515;3535622,5588470967;-2575619,0826038453;162367,65369217115;230020,8427305758;-67653,18903840464;206005,05560461336;2060050,5560461336;-1854045,5004415202;-4497317,7720837705
0,1735781900645942;0,4682472758379762;0,09421641491653898;959906,9154678512;3535266,93257672;-2575360,017108869;208293,82807751306;295082,92310981016;-86789,0950322971;141324,62237480847;1413246,2237480846;-1271921,6013732762;-3934070,713514442
0,10908993701406342;0,49157413665771144;0,09438361500443075;1007726,9801483084;3711384,7317657215;-2703657,751617413;130907,92441687609;185452,8929239078;-54544,96850703172;141575,42250664614;1415754,2250664614;-1274178,8025598153;-4032381,5226842603
0,1187517259022047;0,45631681565625504;0,174027328861586;935449,4720953228;3445191,9582047258;-2509742,486109403;142502,07108264565;201877,934033748;-59375,86295110235;261040,99329237902;2610409,93292379;-2349368,939631411;-4918487,288691916
0,11819134731437059;0,3794304409605342;0,16510160277914707;777832,4039690951;2864699,829252033;-2086867,425282938;141829,6167772447;200925,29043443;-59095,67365718531;247652,4041687206;2476524,041687206;-2228871,637518485;-4374834,736458609
0,1731840941831701;0,4585469619710838;0,16034859746820082;940021,2720407218;3462029,5628816825;-2522008,2908409606;207820,9130198041;294412,96011138917;-86592,04709158506;240522,89620230123;2405228,9620230123;-2164706,065820711;-4773306,403753256
0,13533675672291415;0,5011275213977678;0,08966478290417298;1027311,4188654241;3783512,7865531472;-2756201,367687723;162404,10806749697;230072,48642895406;-67668,37836145709;134497,17435625946;1344971,7435625948;-1210474,5692063353;-4034344,3152555153
0,1250336602433697;0,46822392826263043;0,12215475570936099;959859,0529383924;3535090,6583828595;-2575231,605444467;150040,39229204363;212557,2224137285;-62516,83012168488;183232,1335640415;1832321,3356404149;-1649089,2020763734;-4286837,637642525
0,14911771152745834;0,452911813261279;0,09442834312771009;928469,217185622;3419484,1901226565;-2491014,9729370344;178941,25383295;253500,1095966792;-74558,8557637292;141642,51469156513;1416425,1469156514;-1274782,6322240862;-3840356,46092485
0,15997334660821164;0,415449374868217;0,15816350286522718;851671,2184798449;3136642,7802550383;-2284971,5617751935;191968,01592985395;271954,68923395977;-79986,67330410582;237245,25429784076;2372452,542978408;-2135207,288680567;-4500165,523759866
0,09723242133105833;0,45236326542762506;0,08848073691499608;927344,6941266314;3415342,6539785694;-2487997,9598519383;116678,90559727;165295,11626279916;-48616,21066552916;132721,10537249412;1327211,0537249413;-1194489,9483524472;-3731104,1188699147
